RUNDATE|NEEDARRIVDATE|PLANNDAY|000-049|050-099|100-149|150-199|200-249|250-299|300-349|350-399|400-499|450-499|500+|TOT_LOADS|TOT_QTY|AVG_DAILY_QTY|TOTAL_MILAGE|AVG_MILAGE|STDDEV_MILAGE|TOTAL_COST|AVG_COST|STDDEV_COST|AVG_COST_PER_MILE|AVG_COST_PER_LOAD|AVG_COST_PER_PALLET
23-FEB-16|23-FEB-16|0|100|0|0|0|0|0|0|0|0|0|0|1|540|540|39|39|0|356|356|0|9.13|356|0.66
23-FEB-16|24-FEB-16|1|50|0|0|50|0|0|0|0|0|0|0|4|2280|570|370|92.5|89.67|2193|548.25|138.59|5.93|548.25|0.96
23-FEB-16|25-FEB-16|2|40.1532|20.0099|13.6633|9.8103|5.4033|4.8822|1.6749|0.7706|0.7789|0.1241|2.3366|795|435255|547.49|85813.41|107.94|115.65|353403|444.53|175.91|4.12|444.53|0.81
23-FEB-16|26-FEB-16|3|39.1443|19.6552|14.5128|9.3937|5.197|3.9093|1.6564|1.7927|0.0996|0.5871|2.6681|1029|572328|556.2|113111.81|109.92|121.03|465971|452.84|183.11|4.12|452.84|0.81
23-FEB-16|27-FEB-16|4|35.4945|17.1137|8.4746|3.1265|2.3449|10.9429|7.7341|1.5633|0.7816|2.3449|10.079|130|72924|560.95|23220|178.62|198.74|58949|453.45|298.87|2.54|453.45|0.81
23-FEB-16|28-FEB-16|5|58.8235|2.9412|11.7647|2.9412|0|2.9412|0|17.6471|0|0|2.9412|34|19380|570|4465|131.32|159|16807|494.32|235.59|3.76|494.32|0.87
23-FEB-16|29-FEB-16|6|46.0589|22.2624|11.3359|9.8724|5.2627|3.7947|0|0.6641|0.3795|0.0949|0|1069|600835|562.05|88819.89|83.09|78.9|462976|433.09|164.19|5.21|433.09|0.77
23-FEB-16|01-MAR-16|7|42.2141|21.2029|11.9831|9.1435|3.9899|4.3469|1.7526|1.7468|0.4247|0.8763|1.5524|924|520367|563.17|94778.49|102.57|114.35|404198|437.44|169.82|4.26|437.44|0.78
23-FEB-16|02-MAR-16|8|45.0551|20.824|9.5902|9.0676|3.1284|4.1686|1.154|1.7834|1.1484|1.2589|1.9932|962|543344|564.81|99774.3|103.72|126.08|420905|437.53|175.52|4.22|437.53|0.77
23-FEB-16|03-MAR-16|9|45.6525|20.3091|10.094|9.3803|2.8992|3.5832|1.6874|2.1374|0.4441|0.7874|1.9005|898|506699|564.25|89754.1|99.95|123.3|391874|436.39|173.58|4.37|436.39|0.77
23-FEB-16|04-MAR-16|10|50.0993|18.4288|11.6012|7.6614|2.4854|3.5562|1.0841|1.1925|0.3252|0.9757|1.3009|938|525792|560.55|82580|88.04|111.4|404054|430.76|172.16|4.89|430.76|0.77
23-FEB-16|05-MAR-16|11|50.1151|10.4588|8.5923|5.0773|1.1717|6.249|6.249|3.9056|0.7811|0.7811|3.9056|257|145944|567.88|31643|123.12|153.64|110390|429.53|185.91|3.49|429.53|0.76
23-FEB-16|06-MAR-16|12|68.0052|4.9223|22.1503|0|0|0|0|2.4611|0|0|2.4611|41|23160|564.88|2840|69.27|108.01|16533|403.24|140.65|5.82|403.24|0.71
23-FEB-16|07-MAR-16|13|43.039|21.79|12.2702|11.4565|5.016|3.837|0.4319|0.4319|0|0|0|236|131978|559.23|20298|86.01|76.86|103575|438.88|162.5|5.1|438.88|0.78
