ORDER_QTY|SUM_QTY_AT_ORD_QTY|CUMULATIVE_QTY|CUMULATIVE_PERCENT
1|4|4|0
6|6|10|0
20|20|30|0
45|45|75|0
75|75|150|0
90|90|240|0
100|100|340|0
108|108|448|0.0001
128|3840|4288|0.0006
130|650|4938|0.0006
140|140|5078|0.0007
144|288|5366|0.0007
145|145|5511|0.0007
150|2100|7611|0.001
152|152|7763|0.001
156|156|7919|0.001
160|800|8719|0.0011
162|162|8881|0.0012
168|504|9385|0.0012
170|170|9555|0.0012
175|350|9905|0.0013
180|360|10265|0.0013
200|5000|15265|0.002
216|864|16129|0.0021
220|220|16349|0.0021
225|225|16574|0.0022
240|240|16814|0.0022
250|2750|19564|0.0025
256|1024|20588|0.0027
260|260|20848|0.0027
270|2700|23548|0.0031
280|560|24108|0.0031
285|1140|25248|0.0033
288|576|25824|0.0034
290|290|26114|0.0034
300|13200|39314|0.0051
304|304|39618|0.0052
306|1836|41454|0.0054
320|1280|42734|0.0056
324|324|43058|0.0056
330|330|43388|0.0057
340|1360|44748|0.0058
342|342|45090|0.0059
350|2450|47540|0.0062
355|355|47895|0.0062
360|2520|50415|0.0066
362|362|50777|0.0066
364|364|51141|0.0067
374|374|51515|0.0067
378|378|51893|0.0068
380|760|52653|0.0069
384|1536|54189|0.0071
390|390|54579|0.0071
392|392|54971|0.0072
396|1188|56159|0.0073
400|9200|65359|0.0085
404|404|65763|0.0086
408|2856|68619|0.0089
416|832|69451|0.009
420|14700|84151|0.011
425|425|84576|0.011
430|430|85006|0.0111
432|9504|94510|0.0123
444|444|94954|0.0124
448|4480|99434|0.013
450|38250|137684|0.0179
460|460|138144|0.018
464|1392|139536|0.0182
468|1404|140940|0.0184
472|944|141884|0.0185
476|3332|145216|0.0189
480|43200|188416|0.0245
489|489|188905|0.0246
494|988|189893|0.0247
500|10500|200393|0.0261
504|60984|261377|0.034
510|115260|376637|0.0491
520|520|377157|0.0491
524|1048|378205|0.0493
528|8448|386653|0.0504
530|530|387183|0.0504
532|13300|400483|0.0522
534|5874|406357|0.0529
536|9112|415469|0.0541
538|538|416007|0.0542
540|548100|964107|0.1256
549|549|964656|0.1256
558|2232|966888|0.1259
560|560|967448|0.126
562|18546|985994|0.1284
564|564|986558|0.1285
566|16980|1003538|0.1307
570|6661020|7664558|0.9982
576|576|7665134|0.9983
608|10944|7676078|0.9997
640|1920|7677998|1

