RUNDATE|PLANNDAY|NEEDARRIVDATE|%P1_Qty|AVG_COST|AVG_MILAGE|%CO_MET|000-049|050-099|100-149|150-199|200-249|250-299|300-349|350-399|400-499|450-499|500+|TOT_LOADS|TOT_QTY
2016-02-16|0|2016-02-16|85.1|403|48|80|68.988|31.012|0|0|0|0|0|0|0|0|0|4|1838
2016-02-16|1|2016-02-17|83.3|447.8|104.8|85.71|20|20|60|0|0|0|0|0|0|0|0|5|2850
2016-02-16|2|2016-02-18|68.6|433.1|106.36|85.13|37.6173|23.4129|13.2914|9.6965|5.0447|4.8398|1.3939|1.0213|0.7625|0.6389|1.5594|794|436695
2016-02-16|3|2016-02-19|69.1|446.6|104.45|87.21|41.4235|21.2068|11.7559|8.6288|5.8445|4.6597|1.8849|0.7658|1.0871|0.1125|1.8296|914|506664
2016-02-16|4|2016-02-20|85.2|542.97|262.97|23.05|16.864|20.4521|1.507|3.4087|0|20.4521|10.1363|5.113|5.113|0|16.9537|59|33444
2016-02-16|5|2016-02-21|88.6|470.28|118.38|12.83|34.2241|41.5427|3.4619|0|0|0|0|20.7713|0|0|0|29|16465
2016-02-16|6|2016-02-22|100|1191.43|469.64|0.97|0|0|0|0|0|7.1429|0|50|21.4286|0|21.4286|14|7980
2016-02-16|7|2016-02-23|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
2016-02-16|8|2016-02-24|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
2016-02-16|9|2016-02-25|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
2016-02-16|10|2016-02-26|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
2016-02-16|11|2016-02-27|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
2016-02-16|12|2016-02-28|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
2016-02-16|13|2016-02-29|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0

