RUNDATE|PLANNDAY|NEEDARRIVDATE|PERCENT_P1_MATCH_QTY|AVG_COST|AVG_MILAGE|PERCENT_ORDERS_MET|000-049|050-099|100-149|150-199|200-249|250-299|300-349|350-399|400-499|450-499|500+|TOT_LOADS|TOT_QTY
2016-02-17|0|2016-02-17|85.1|400.5|66.5|62.5|25.3333|49.3333|25.3333|0|0|0|0|0|0|0|0|4|2250
2016-02-17|1|2016-02-18|85.5|450|66|33.33|0|100|0|0|0|0|0|0|0|0|0|1|570
2016-02-17|2|2016-02-19|69.5|443.98|109|85.09|40.1954|22.2282|11.2759|9.597|4.1629|3.5838|1.6232|0.4125|0.6589|0.3053|3.954|685|373346
2016-02-17|3|2016-02-20|75.7|567.76|303.56|25.49|19.0292|5.2399|4.9458|8.7332|0|19.2131|12.0427|5.2399|0|0|25.5562|59|32634
2016-02-17|4|2016-02-21|78.4|611.13|182.6|11.8|46.6667|6.6667|6.6667|0|0|0|0|40|0|0|0|15|8550
2016-02-17|5|2016-02-22|63.9|445.13|86.63|91.38|41.4322|21.5736|15.3913|10.4224|5.0482|3.3397|0.2712|0|0.2712|0|0.3616|1130|630603
2016-02-17|6|2016-02-23|68.4|437.02|107.5|92.16|41.4988|19.6888|13.4522|8.2169|4.4347|4.9666|1.612|1.4585|0.7292|0.5154|2.4893|975|547139
2016-02-17|7|2016-02-24|67.6|440.64|111.39|93.74|41.5509|17.1575|13.4263|11.0903|4.2507|3.9748|0.9913|1.2903|1.2955|1.0962|2.4862|1017|571959
2016-02-17|8|2016-02-25|72.3|438.16|102.04|92.97|43.4568|18.3111|14.3075|9.1465|4.385|4.0616|1.1815|1.0741|0.6445|0.424|1.9334|943|530674
2016-02-17|9|2016-02-26|72.5|434.6|95.63|93.87|48.1594|16.1393|11.8438|9.7072|4.4545|3.7494|0.8369|0.7323|0.8369|0.7323|1.5636|971|544882
2016-02-17|10|2016-02-27|70.4|511.06|326.78|25.37|15.3324|6.445|6.445|3.867|0|14.1791|18.0461|6.445|3.867|5.156|20.2171|79|44220
2016-02-17|11|2016-02-28|66.4|322.33|59.67|4.41|66.6667|0|33.3333|0|0|0|0|0|0|0|0|3|1710
2016-02-17|12|2016-02-29|74.4|414.57|83.6|90.32|42.1167|23.0257|15.2274|8.5576|10.1076|0.4825|0|0|0|0|0|211|118129
2016-02-17|13|2016-03-01|81.1|428.14|97.34|91.98|35.8223|28.1256|17.6689|8.5422|2.1356|1.4237|2.1356|1.3862|0.6244|2.1356|0|145|80073
